Genus,Species,Analogue,Site,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C3,Reference,40.73187,P-CN-C3,64.492,718.810667,35429.7,3.1767,41.36161,10.8129252,16.6588,1.245,1245.076,17.8310646,13,P-CN-C3
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C4,Reference,40.73187,P-CN-C4,62.881,876.446,36547.7,3.5988,35.73207,11.2857143,19.545,1.303,1302.709,15.7782067,12.6,P-CN-C4
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C5,Reference,40.73187,P-CN-C5,58.219,691.526,36993.2,2.6726,34.55525,11.1836734693878,17.784,1.169,1168.681,16.0825862,11.9,P-CN-C5
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C6,Reference,40.73187,P-CN-C6,54.171,604.954,37127.9,3.0014,30.6871136,11.9353741496599,17.600,1.19,1189.931,16.7574004,10.9,P-CN-C6
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C7,Reference,40.73187,P-CN-C7,51.806,640.411,33715.1,3.0011,40.2577929,10.4727891,17.771,1.329,1328.6,,11.2,P-CN-C7
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C8,Reference,40.73187,P-CN-C8,48.334,610.462667,36123.8,2.39142,34.5648277,,19.023,1.064,1064.4,,10.2,P-CN-C8
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V1,Extreme,40.73187,A-CN-V1,41.963,745.066,41062,2.8733,47.2691,10.843537414966,21.595,1.376,1376.16,43.5486162,13.1,A-CN-V1
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V2,Extreme,40.73187,A-CN-V2,52.72,747.999667,41393.8,2.8739,45.73362,10.9421768707483,19.4366,1.432,1432.172,33.4909623,16.7,A-CN-V2
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V3,Extreme,40.73187,A-CN-V3,37.06,760.807,41088.1,2.229,53.1759314,11.7619047619048,20.268,1.329,1329.126,40.840941,11.4,A-CN-V3
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V4,Extreme,40.73187,A-CN-V4,51.249,900.639,39207.1,2.3362,44.91992,11.9013605,21.035,1.349,1349.317,31.2879869,16.9,A-CN-V4
